Esn,Country,Localized Device Description,Device Description,Ip,Region Code Display Name,Ts
LGTV20193=31009922320,DK,LG 2019 RTK K5Lp Standard UHD TV Smart TV,LG 2019 RTK K5Lp Standard UHD TV Smart TV,213.32.243.36,Capital Region,2021-09-04T21:16:20.096Z
NFCDCH-02-GTHDXW9DP9TC8GWYEHRUM53DXUUYQQ,NL,Chrome PC (Cadmium),Chrome PC (Cadmium),2001:1c00:e11:f000:b441:5344:58a7:8d03,South Holland,2021-09-04T21:15:57.614Z
LGTV20193=31009922320,DK,LG 2019 RTK K5Lp Standard UHD TV Smart TV,LG 2019 RTK K5Lp Standard UHD TV Smart TV,213.32.243.45,Capital Region,2021-09-04T12:56:24.125Z
NFCDCH-02-GTHDXW9DP9TC8GWYEHRUM53DXUUYQQ,NL,Chrome PC (Cadmium),Chrome PC (Cadmium),2001:1c00:e11:f000:adbc:e7f0:e8f2:4826,South Holland,2021-09-04T11:10:31.459Z
NFCDCH-02-GTHDXW9DP9TC8GWYEHRUM53DXUUYQQ,NL,Chrome PC (Cadmium),Chrome PC (Cadmium),2001:1c00:e11:f000:adbc:e7f0:e8f2:4826,South Holland,2021-09-03T21:18:57.966Z
NFAPPL-01-IPAD7=5-912FACCA94BAF436C2E6F513D3D2D318E29DD191F24EB68957A2723B5CCB276B,SE,Apple iPad 6th Gen 9.7 (Wi-Fi) iPad,Apple iPad 6th Gen 9.7 (Wi-Fi) iPad,80.217.159.253,Stockholm,2021-09-02T21:25:45.254Z
LGTV20193=31009922320,DK,LG 2019 RTK K5Lp Standard UHD TV Smart TV,LG 2019 RTK K5Lp Standard UHD TV Smart TV,213.32.243.48,Capital Region,2021-09-01T23:01:57.140Z
NFANDROID2-PRV-UZX8020CHM1-TECHNTV=HUB-7569-4797F3D821908AEE26AC86F83E2928388EED3098A4794347E13865DDBD75BDE2,SE,Com Hem UZX8020CHM1 MVPD STB,Com Hem UZX8020CHM1 MVPD STB,80.217.159.253,Stockholm,2021-09-01T16:53:42.753Z
NFAPPL-01-IPAD7=5-912FACCA94BAF436C2E6F513D3D2D318E29DD191F24EB68957A2723B5CCB276B,SE,Apple iPad 6th Gen 9.7 (Wi-Fi) iPad,Apple iPad 6th Gen 9.7 (Wi-Fi) iPad,80.216.23.76,Stockholm,2021-08-31T20:46:17.799Z
NFANDROID2-PRV-UZX8020CHM1-TECHNTV=HUB-7569-4797F3D821908AEE26AC86F83E2928388EED3098A4794347E13865DDBD75BDE2,SE,Com Hem UZX8020CHM1 MVPD STB,Com Hem UZX8020CHM1 MVPD STB,80.216.23.76,Stockholm,2021-08-31T16:25:13.800Z
